,a,b,c,d,e
a,1,1.041,1.034,1.028,1.043
b,1.02,1,1.018,1.041,1.064
c,1.027,1.036,1,1.063,1.071
d,1.05,1.06,1.052,1,1.067
e,1.061,1.058,1.057,1.082,1
